Time (s) Run #1	Voltage, Ch A (V) Run #1	Current, Ch B (A) Run #1	Time (s) Run #2	Voltage, Ch A (V) Run #2	Current, Ch B (A) Run #2
2.350	8.545E-5	1.055E-4	2.350	4.822E-4	1.013
2.375	8.313E-4	1.032E-4	2.375	5.176E-4	1.041
2.400	2.466E-4	1.016E-4	2.400	3.333E-4	1.003
2.425	8.252E-4	1.044E-4	2.425	4.797E-4	0.977
2.450	2.490E-4	1.075E-4	2.450	4.797E-4	0.990
2.475	9.058E-4	9.985E-5	2.475	5.847E-4	1.003
2.500	2.722E-4	1.064E-4	2.500	4.224E-4	1.006
2.525	8.313E-4	9.969E-5	2.525	4.749E-4	1.018
2.550	3.430E-4	1.055E-4	2.550	5.273E-4	0.972
2.575	8.630E-4	1.016E-4	2.575	4.028E-4	0.986
2.600	1.086E-4	1.013E-4	2.600	3.845E-4	0.982
2.625	8.142E-4	1.007E-4	2.625	6.494E-4	1.027
2.650	1.562E-4	1.003E-4	2.650	4.919E-4	0.981
2.675	9.521E-4	9.539E-5	2.675	5.579E-4	0.994
2.700	2.039E-4	1.028E-4	2.700	4.333E-4	1.034
2.725	7.605E-4	1.041E-4	2.725	5.481E-4	1.022
2.750	-2.686E-5	1.094E-4	2.750	-0.007	1.005
2.775	6.616E-4	1.023E-4	2.775	0.001	1.006
2.800	2.209E-4	9.951E-5	2.800	0.001	1.011
2.825	0.001	1.006E-4	2.825	0.001	0.999
2.850	5.225E-4	1.080E-4	2.850	9.387E-4	1.053
2.875	9.607E-4	1.005E-4	2.875	0.001	1.023
2.900	3.369E-4	1.059E-4	2.900	9.924E-4	1.027
2.925	9.399E-4	1.013E-4	2.925	0.001	1.029
2.950	3.137E-4	1.025E-4	2.950	9.778E-4	1.083
2.975	8.276E-4	1.029E-4	2.975	0.001	1.043
3.000	3.516E-4	1.001E-4	3.000	8.801E-4	1.051
3.025	7.690E-4	1.004E-4	3.025	0.001	0.968
3.050	3.442E-4	1.066E-4	3.050	9.619E-4	1.002
3.075	6.396E-4	9.993E-5	3.075	0.001	1.032
3.100	7.324E-6	1.076E-4	3.100	9.656E-4	1.054
3.125	6.384E-4	1.002E-4	3.125	0.001	1.003
3.150	9.155E-5	1.037E-4	3.150	8.777E-4	1.027
3.175	9.460E-4	1.023E-4	3.175	0.001	1.016
3.200	8.301E-5	1.020E-4	3.200	0.001	0.977
3.225	8.337E-4	1.011E-4	3.225	0.001	0.998
3.250	1.233E-4	1.016E-4	3.250	9.009E-4	1.015
3.275	7.715E-4	1.018E-4	3.275	0.001	0.991
3.300	1.770E-4	1.078E-4	3.300	9.399E-4	0.993
3.325	8.459E-4	9.678E-5	3.325	0.001	1.029
3.350	2.271E-4	1.042E-4	3.350	8.765E-4	0.988
3.375	7.776E-4	1.029E-4	3.375	0.001	1.041
3.400	1.758E-4	1.002E-4	3.400	9.607E-4	1.056
3.425	7.507E-4	9.727E-5	3.425	0.001	1.022
3.450	2.234E-4	1.051E-4	3.450	9.729E-4	1.028
3.475	8.667E-4	9.954E-5	3.475	0.001	0.992
3.500	4.114E-4	9.907E-5	3.500	0.001	1.041
3.525	8.179E-4	1.002E-4	3.525	0.001	1.021
3.550	4.663E-4	1.050E-4	3.550	0.004	0.984
3.575	9.070E-4	1.053E-4	3.575	0.071	0.984
3.600	3.638E-4	1.012E-4	3.600	0.163	1.031
3.625	0.001	9.860E-5	3.625	0.238	1.024
3.650	5.347E-4	1.016E-4	3.650	0.295	1.032
3.675	9.717E-4	1.019E-4	3.675	0.342	0.991
3.700	2.429E-4	1.029E-4	3.700	0.386	0.997
3.725	8.801E-4	1.019E-4	3.725	0.437	0.976
3.750	3.308E-4	1.053E-4	3.750	0.482	0.986
3.775	8.777E-4	1.012E-4	3.775	0.529	0.987
3.800	2.271E-4	1.012E-4	3.800	0.572	1.065
3.825	8.374E-4	9.795E-5	3.825	0.621	1.015
3.850	2.441E-4	1.031E-4	3.850	0.675	1.018
3.875	8.130E-4	9.818E-5	3.875	0.732	1.010
3.900	2.148E-4	1.033E-4	3.900	0.776	1.104
3.925	9.326E-4	1.024E-4	3.925	0.813	1.057
3.950	2.014E-4	1.002E-4	3.950	0.853	1.041
3.975	7.080E-4	9.668E-5	3.975	0.888	1.061
4.000	3.357E-4	1.015E-4	4.000	0.913	1.063
4.025	9.521E-4	1.021E-4	4.025	0.932	1.036
4.050	2.454E-4	1.077E-4	4.050	0.947	1.034
4.075	8.398E-4	1.003E-4	4.075	0.961	1.018
4.100	1.135E-4	1.061E-4	4.100	0.975	1.002
4.125	9.424E-4	1.019E-4	4.125	0.990	1.013
4.150	4.285E-4	1.063E-4	4.150	1.004	1.026
4.175	9.253E-4	1.016E-4	4.175	1.015	1.042
4.200	3.711E-4	1.039E-4	4.200	1.026	1.053
4.225	8.472E-4	1.039E-4	4.225	1.035	1.038
4.250	2.917E-4	1.036E-4	4.250	1.043	0.990
4.275	9.436E-4	1.021E-4	4.275	1.051	1.021
4.300	1.392E-4	1.009E-4	4.300	1.054	0.996
4.325	9.216E-4	1.002E-4	4.325	1.058	1.013
4.350	2.649E-4	1.062E-4	4.350	1.063	1.000
4.375	0.001	1.077E-4	4.375	1.068	1.054
4.400	2.844E-4	1.083E-4	4.400	1.073	1.004
4.425	8.545E-4	1.012E-4	4.425	1.078	1.031
4.450	2.966E-4	1.073E-4	4.450	1.083	0.982
4.475	0.001	1.019E-4	4.475	1.087	1.020
4.500	3.723E-4	1.055E-4	4.500	1.091	1.052
4.525	0.001	1.081E-4	4.525	1.096	1.047
			4.550	1.101	1.040
			4.575	1.107	1.050
			4.600	1.111	0.992
			4.625	1.116	1.030
			4.650	1.121	1.036
			4.675	1.126	1.008
			4.700	1.130	1.029
			4.725	1.136	1.070
			4.750	1.143	1.028
			4.775	1.146	1.000
			4.800	1.148	1.003
			4.825	1.150	1.008
			4.850	1.150	0.995
			4.875	1.150	1.010
			4.900	1.150	1.016
			4.925	1.150	1.013
			4.950	1.150	0.991
			4.975	1.151	1.032
			5.000	1.150	0.988
			5.025	1.151	1.044
			5.050	1.150	1.063
			5.075	1.152	1.031
			5.100	1.156	1.022
			5.125	1.163	0.996
			5.150	1.169	1.055
			5.175	1.176	1.042
			5.200	1.185	1.043
			5.225	1.192	1.015
			5.250	1.198	1.011
			5.275	1.206	1.007
			5.300	1.212	0.977
			5.325	1.218	1.005
			5.350	1.223	1.030
			5.375	1.227	1.011
			5.400	1.232	1.060
			5.425	1.237	1.019
			5.450	1.241	1.034
			5.475	1.246	1.014
			5.500	1.251	1.060
			5.525	1.256	0.990
			5.550	1.264	1.051
			5.575	1.273	0.973
			5.600	1.281	1.017
			5.625	1.290	1.056
			5.650	1.301	1.026
			5.675	1.310	1.003
			5.700	1.321	1.050
			5.725	1.332	1.028
			5.750	1.344	1.015
			5.775	1.358	1.040
			5.800	1.370	1.023
			5.825	1.380	1.041
			5.850	1.385	1.015
			5.875	1.395	1.007
			5.900	1.397	1.068
			5.925	1.398	0.990
			5.950	1.398	1.049
			5.975	1.398	0.985
			6.000	1.398	1.054
			6.025	1.398	0.989
			6.050	1.398	0.970
			6.075	1.398	0.996
			6.100	1.398	1.034
			6.125	1.398	1.047
			6.150	1.397	1.039
			6.175	1.395	1.023
			6.200	1.397	1.057
			6.225	1.403	1.017
			6.250	1.416	1.040
			6.275	1.435	1.019
			6.300	1.457	1.008
			6.325	1.475	0.991
			6.350	1.496	1.023
			6.375	1.518	1.004
			6.400	1.544	0.997
			6.425	1.569	1.019
			6.450	1.586	1.030
			6.475	1.603	1.065
			6.500	1.628	1.017
			6.525	1.658	1.014
			6.550	1.684	1.036
			6.575	1.705	1.016
			6.600	1.733	1.002
			6.625	1.756	1.001
